date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:36	163/163	---MCZ	200	added ('OK')	text/plain	date:Thu,%2028%20Jul%202016%2014:56:11%20GMT	http://mbltdev.ru/robots.txt		(from )
12:13:37	86/86	---MC-	302	error ('Found')	text/html	date:Fri,%2013%20Jan%202017%2009:17:05%20GMT	http://mbltdev.ru/	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/index.html	(from )
12:13:37	70269/70269	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2009:17:05%20GMT	http://mbltdev.ru/en	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/en.html	(from http://mbltdev.ru/)
12:13:37	150265/150265	---M-Z	200	added ('OK')	text/css	etag:%2258403299-6310%22	http://mbltdev.ru/assets/application-5fa24566ae10f4bb0c0514bf4818c6302b2d6f5dbd8385c7300159e258298e49.css	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/assets/application-5fa24566ae10f4bb0c0514bf4818c6302b2d6f5dbd8385c7300159e258298e49.css	(from http://mbltdev.ru/en)
12:13:38	7406/7406	---M--	200	added ('OK')	image/x-icon	etag:%22579a1d0b-1cee%22	http://mbltdev.ru/assets/favicon-3335aebf5b84be73828e88515a417b4f63dff0a80311d0660e32f83eca5a9ddf.ico	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/assets/favicon-3335aebf5b84be73828e88515a417b4f63dff0a80311d0660e32f83eca5a9ddf.ico	(from http://mbltdev.ru/en)
12:13:38	717/717	---MCZ	200	added ('OK')	application/json	date:Thu,%2028%20Jul%202016%2014:56:11%20GMT	http://mbltdev.ru/manifest.json	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/manifest.json	(from http://mbltdev.ru/en)
12:13:38	616/616	---M--	200	added ('OK')	image/png	etag:%22579a1d0b-268%22	http://mbltdev.ru/favicon-16x16.png	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/favicon-16x16.png	(from http://mbltdev.ru/en)
12:13:38	771/771	---M--	200	added ('OK')	image/png	etag:%22579a1d0b-303%22	http://mbltdev.ru/favicon-32x32.png	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/favicon-32x32.png	(from http://mbltdev.ru/en)
12:13:38	1367/1367	---M--	200	added ('OK')	image/png	etag:%22579a1d0b-557%22	http://mbltdev.ru/favicon-96x96.png	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/favicon-96x96.png	(from http://mbltdev.ru/en)
12:13:38	2347/2347	---M--	200	added ('OK')	image/png	etag:%22579a1d0b-92b%22	http://mbltdev.ru/android-chrome-192x192.png	C:/Users/DzAdmin/Documents/mbltnew10/mbltdev.ru/android-chrome-192x192.png	(from http://mbltdev.ru/en)
